Ecosysteme,Espece,Nombre
Océan,Espèce E,87
Prairie,Espèce C,38
Prairie,Espèce E,2
Prairie,Espèce D,13
Océan,Espèce E,7
Prairie,Espèce B,82
Océan,Espèce A,94
Marais,Espèce B,17
Forêt,Espèce C,12
Prairie,Espèce A,52
Désert,Espèce D,45
Désert,Espèce B,52
Marais,Espèce C,32
Prairie,Espèce D,6
Désert,Espèce D,89
Forêt,Espèce C,18
Marais,Espèce A,75
Désert,Espèce B,99
Désert,Espèce B,75
Désert,Espèce A,86
Prairie,Espèce C,53
Forêt,Espèce B,86
Désert,Espèce D,21
Marais,Espèce B,19
Prairie,Espèce D,10
Prairie,Espèce E,30
Forêt,Espèce E,68
Prairie,Espèce E,29
Prairie,Espèce D,15
Désert,Espèce D,4
Prairie,Espèce D,9
Prairie,Espèce B,28
Forêt,Espèce D,97
Désert,Espèce E,88
Forêt,Espèce D,13
Océan,Espèce E,26
Forêt,Espèce B,4
Prairie,Espèce C,90
Marais,Espèce A,71
Océan,Espèce A,17
Prairie,Espèce D,32
Forêt,Espèce C,78
Désert,Espèce C,42
Désert,Espèce E,80
Océan,Espèce C,44
Désert,Espèce A,66
Marais,Espèce A,6
Prairie,Espèce B,53
Marais,Espèce E,26
Océan,Espèce B,11
Prairie,Espèce A,16
Marais,Espèce A,17
Désert,Espèce B,84
Prairie,Espèce A,27
Désert,Espèce C,68
Désert,Espèce C,16
Prairie,Espèce A,86
Océan,Espèce A,48
Marais,Espèce E,14
Désert,Espèce E,5
Prairie,Espèce B,40
Prairie,Espèce A,71
Océan,Espèce C,48
Forêt,Espèce B,67
Prairie,Espèce A,82
Désert,Espèce C,10
Prairie,Espèce D,26
Prairie,Espèce A,88
Prairie,Espèce B,85
Désert,Espèce D,54
Marais,Espèce C,47
Océan,Espèce D,21
Océan,Espèce C,37
Océan,Espèce E,10
Prairie,Espèce E,49
Marais,Espèce A,10
Désert,Espèce D,88
Marais,Espèce C,94
Forêt,Espèce B,14
Prairie,Espèce C,27
Océan,Espèce B,82
Océan,Espèce D,69
Désert,Espèce A,69
Océan,Espèce B,3
Océan,Espèce D,94
Prairie,Espèce E,39
Prairie,Espèce D,64
Forêt,Espèce C,59
Océan,Espèce C,38
Forêt,Espèce E,96
Océan,Espèce A,14
Prairie,Espèce C,93
Marais,Espèce E,16
Prairie,Espèce D,39
Désert,Espèce E,27
Océan,Espèce C,60
Prairie,Espèce E,39
Océan,Espèce B,4
Prairie,Espèce C,73
Forêt,Espèce E,14
