long_sepale,larg_sepale,long_petale,larg_petale,especes,index
5.1,3.5,1.4,0.2,Setosa,0
4.9,3.0,1.4,0.2,Setosa,2
4.7,3.2,1.3,0.2,Setosa,4
4.6,3.1,1.5,0.2,Setosa,6
5.0,3.6,1.4,0.2,Setosa,8
5.4,3.9,1.7,0.4,Setosa,10
4.6,3.4,1.4,0.3,Setosa,12
5.0,3.4,,0.2,Setosa,14
4.4,2.9,1.4,0.2,Setosa,16
4.9,3.1,1.5,0.1,Setosa,18
5.4,3.7,1.5,0.2,Setosa,20
4.8,3.4,1.6,0.2,Setosa,22
4.8,,1.4,0.1,Setosa,24
4.3,3.0,1.1,0.1,Setosa,26
5.8,4.0,1.2,0.2,Setosa,28
5.7,4.4,1.5,0.4,Setosa,30
5.4,3.9,1.3,0.4,Setosa,32
5.1,3.5,1.4,0.3,Setosa,34
5.7,3.8,1.7,0.3,Setosa,36
5.1,3.8,1.5,0.3,Setosa,38
5.4,3.4,1.7,0.2,Setosa,40
5.1,3.7,1.5,0.4,Setosa,42
4.6,3.6,1.0,0.2,Setosa,44
5.1,3.3,1.7,0.5,Setosa,46
4.8,3.4,1.9,0.2,Setosa,48
5.0,3.0,1.6,0.2,Setosa,50
5.0,3.4,1.6,0.4,Setosa,52
5.2,3.5,1.5,0.2,Setosa,54
5.2,3.4,1.4,0.2,Setosa,56
4.7,3.2,1.6,0.2,Setosa,58
4.8,3.1,1.6,0.2,Setosa,60
5.4,3.4,1.5,0.4,Setosa,62
5.2,4.1,1.5,0.1,Setosa,64
5.5,4.2,1.4,0.2,Setosa,66
4.9,3.1,1.5,0.2,Setosa,68
5.0,3.2,1.2,0.2,Setosa,70
5.5,3.5,1.3,0.2,Setosa,72
4.9,3.6,1.4,0.1,Setosa,74
4.4,3.0,1.3,0.2,Setosa,76
5.1,3.4,1.5,0.2,Setosa,78
5.0,3.5,1.3,0.3,Setosa,80
4.5,2.3,1.3,0.3,Setosa,82
4.4,3.2,1.3,0.2,Setosa,84
5.0,3.5,1.6,0.6,Setosa,86
5.1,3.8,1.9,0.4,Setosa,88
4.8,3.0,1.4,0.3,Setosa,90
5.1,3.8,1.6,0.2,Setosa,92
4.6,3.2,1.4,0.2,Setosa,94
5.3,3.7,1.5,,Setosa,96
5.0,3.3,,0.2,Setosa,98
7.0,3.2,4.7,1.4,Versicolor,100
6.4,3.2,4.5,1.5,Versicolor,102
6.9,3.1,4.9,1.5,Versicolor,104
,2.3,4.0,1.3,Versicolor,106
6.5,2.8,4.6,1.5,Versicolor,108
5.7,2.8,4.5,1.3,Versicolor,110
6.3,3.3,4.7,1.6,Versicolor,112
4.9,2.4,3.3,1.0,Versicolor,114
6.6,2.9,4.6,1.3,Versicolor,116
5.2,2.7,3.9,1.4,Versicolor,118
5.0,2.0,3.5,1.0,Versicolor,120
5.9,3.0,4.2,1.5,Versicolor,122
6.0,2.2,4.0,1.0,Versicolor,124
6.1,2.9,4.7,1.4,Versicolor,126
5.6,2.9,3.6,1.3,Versicolor,128
6.7,3.1,4.4,1.4,Versicolor,130
5.6,3.0,4.5,1.5,Versicolor,132
5.8,2.7,4.1,1.0,Versicolor,134
6.2,2.2,4.5,1.5,Versicolor,136
5.6,2.5,3.9,1.1,Versicolor,138
5.9,3.2,4.8,1.8,Versicolor,140
6.1,2.8,,1.3,Versicolor,142
6.3,2.5,4.9,1.5,Versicolor,144
6.1,2.8,4.7,1.2,Versicolor,146
6.4,,4.3,1.3,Versicolor,148
6.6,3.0,4.4,1.4,Versicolor,150
6.8,2.8,4.8,1.4,Versicolor,152
6.7,3.0,5.0,1.7,Versicolor,154
6.0,2.9,4.5,1.5,Versicolor,156
5.7,2.6,3.5,1.0,Versicolor,158
5.5,2.4,3.8,1.1,Versicolor,160
5.5,2.4,3.7,1.0,Versicolor,162
5.8,2.7,3.9,1.2,Versicolor,164
6.0,2.7,5.1,1.6,Versicolor,166
5.4,3.0,4.5,1.5,Versicolor,168
6.0,3.4,4.5,1.6,Versicolor,170
6.7,3.1,4.7,1.5,Versicolor,172
6.3,2.3,4.4,1.3,Versicolor,174
5.6,3.0,4.1,1.3,Versicolor,176
5.5,2.5,4.0,1.3,Versicolor,178
5.5,2.6,4.4,1.2,Versicolor,180
6.1,3.0,4.6,1.4,Versicolor,182
5.8,2.6,4.0,1.2,Versicolor,184
5.0,2.3,3.3,1.0,Versicolor,186
5.6,2.7,4.2,1.3,Versicolor,188
5.7,3.0,4.2,1.2,Versicolor,190
5.7,2.9,4.2,1.3,Versicolor,192
6.2,2.9,,1.3,Versicolor,194
,2.5,3.0,1.1,Versicolor,196
5.7,2.8,4.1,1.3,Versicolor,198
6.3,3.3,6.0,2.5,Virginica,200
5.8,2.7,5.1,1.9,Virginica,202
7.1,3.0,5.9,2.1,Virginica,204
6.3,2.9,5.6,1.8,Virginica,206
6.5,3.0,5.8,2.2,Virginica,208
7.6,3.0,6.6,2.1,Virginica,210
4.9,2.5,4.5,1.7,Virginica,212
7.3,2.9,6.3,1.8,Virginica,214
6.7,2.5,5.8,1.8,Virginica,216
7.2,3.6,6.1,2.5,Virginica,218
6.5,3.2,5.1,2.0,Virginica,220
6.4,2.7,5.3,1.9,Virginica,222
6.8,3.0,5.5,2.1,Virginica,224
5.7,2.5,5.0,2.0,Virginica,226
5.8,2.8,5.1,2.4,Virginica,228
6.4,3.2,5.3,2.3,Virginica,230
6.5,3.0,5.5,1.8,Virginica,232
7.7,3.8,,2.2,Virginica,234
7.7,2.6,6.9,2.3,Virginica,236
6.0,2.2,5.0,1.5,Virginica,238
6.9,3.2,5.7,2.3,Virginica,240
5.6,2.8,4.9,2.0,Virginica,242
7.7,2.8,6.7,2.0,Virginica,244
6.3,2.7,4.9,1.8,Virginica,246
6.7,3.3,5.7,2.1,Virginica,248
7.2,3.2,6.0,1.8,Virginica,250
6.2,2.8,4.8,1.8,Virginica,252
6.1,3.0,4.9,1.8,Virginica,254
6.4,2.8,5.6,2.1,Virginica,256
7.2,3.0,5.8,1.6,Virginica,258
7.4,2.8,6.1,1.9,Virginica,260
7.9,3.8,6.4,2.0,Virginica,262
6.4,2.8,5.6,2.2,Virginica,264
6.3,2.8,5.1,1.5,Virginica,266
6.1,2.6,5.6,1.4,Virginica,268
7.7,3.0,6.1,2.3,Virginica,270
6.3,3.4,5.6,2.4,Virginica,272
6.4,3.1,5.5,1.8,Virginica,274
6.0,3.0,4.8,1.8,Virginica,276
6.9,3.1,5.4,2.1,Virginica,278
6.7,3.1,5.6,2.4,Virginica,280
6.9,3.1,5.1,2.3,Virginica,282
5.8,2.7,5.1,1.9,Virginica,284
6.8,3.2,5.9,2.3,Virginica,286
6.7,3.3,5.7,2.5,Virginica,288
6.7,3.0,5.2,2.3,Virginica,290
6.3,2.5,5.0,1.9,Virginica,292
6.5,3.0,5.2,2.0,Virginica,294
6.2,3.4,5.4,2.3,Virginica,296
5.9,3.0,5.1,1.8,Virginica,298
